snapshot_date,symbol,idx_code,issuer_name,board,sector
2025-09-20,BCIP.JK,BCIP,PT Bumi Citra Permai Tbk,,Finance
2025-09-20,BDKR.JK,BDKR,PT Berdikari Pondasi Perkasa Tbk,,Industrial services
2025-09-20,BDMN.JK,BDMN,PT Bank Danamon Indonesia Tbk Class A,,Finance
2025-09-20,BEEF.JK,BEEF,PT Estika Tata Tiara Tbk,,Consumer non-durables
2025-09-20,BEER.JK,BEER,PT Jobubu Jarum Minahasa Tbk,,Consumer non-durables
2025-09-20,BEKS.JK,BEKS,PT Bank Pembangunan Daerah Banten (Perseroda) Tbk Class A,,Finance
2025-09-20,BELI.JK,BELI,PT Global Digital Niaga Tbk,,Retail trade
2025-09-20,BELL.JK,BELL,PT Trisula Textile Industries Tbk,,Consumer non-durables
2025-09-20,BESS.JK,BESS,PT Batulicin Nusantara Maritim Tbk,,Transportation
2025-09-20,BEST.JK,BEST,PT Bekasi Fajar Industrial Estate Tbk,,Industrial services
2025-09-20,BFIN.JK,BFIN,PT BFI Finance Indonesia Tbk,,Finance
2025-09-20,BGTG.JK,BGTG,PT Bank Ganesha Tbk,,Finance
2025-09-20,BHAT.JK,BHAT,PT Bhakti Multi Artha Tbk,,Commercial services
2025-09-20,BHIT.JK,BHIT,PT MNC Asia Holding Tbk,,Consumer services
2025-09-20,BIKE.JK,BIKE,PT Sepeda Bersama Indonesia Tbk,,Distribution services
2025-09-20,BIMA.JK,BIMA,PT Primarindo Asia Infrastructure Tbk,,Consumer non-durables
2025-09-20,BINA.JK,BINA,PT Bank Ina Perdana Tbk,,Finance
2025-09-20,BINO.JK,BINO,PT Perma Plasindo Tbk,,Producer manufacturing
2025-09-20,BIPI.JK,BIPI,PT Astrindo Nusantara Infrastruktur Tbk,,Energy minerals
2025-09-20,BIPP.JK,BIPP,PT Bhuwanatala Indah Permai Tbk Class A,,Finance
2025-09-20,BIRD.JK,BIRD,PT Blue Bird Tbk,,Transportation
2025-09-20,BISI.JK,BISI,PT BISI International Tbk,,Process industries
2025-09-20,BJBR.JK,BJBR,PT Bank Pembangunan Daerah Jawa Barat & Banten Tbk,,Finance
2025-09-20,BJTM.JK,BJTM,PT Bank Pembangunan Daerah Jawa Timur Tbk Class B,,Finance
2025-09-20,BKDP.JK,BKDP,PT Bukit Darmo Property Tbk,,Finance
2025-09-20,BKSL.JK,BKSL,PT Sentul City Tbk,,Finance
2025-09-20,BKSW.JK,BKSW,PT Bank QNB Indonesia Tbk,,Finance
2025-09-20,BLES.JK,BLES,PT Superior Prima Sukses Tbk,,Non-energy minerals
2025-09-20,BLOG.JK,BLOG,PT Trimitra Trans Persada Tbk,,Transportation
2025-09-20,BLTA.JK,BLTA,PT Berlian Laju Tanker Tbk,,Transportation
2025-09-20,BLTZ.JK,BLTZ,PT Graha Layar Prima Tbk Class C,,Consumer services
2025-09-20,BLUE.JK,BLUE,PT Berkah Prima Perkasa Tbk,,Distribution services
2025-09-20,BMAS.JK,BMAS,PT Bank Maspion Indonesia Tbk,,Finance
2025-09-20,BMBL.JK,BMBL,PT Lavender Bina Cendikia Tbk,,Commercial services
2025-09-20,BMHS.JK,BMHS,PT Bundamedik Tbk,,Health services
2025-09-20,BMRI.JK,BMRI,PT Bank Mandiri (Persero) Tbk,,Finance
2025-09-20,BMSR.JK,BMSR,PT Bintang Mitra Semestaraya Tbk,,Distribution services
2025-09-20,BMTR.JK,BMTR,PT Global Mediacom Tbk,,Consumer services
2025-09-20,BNBA.JK,BNBA,PT Bank Bumi Arta Tbk,,Finance
2025-09-20,BNBR.JK,BNBR,PT Bakrie & Brothers Tbk Class A,,Industrial services
2025-09-20,BNGA.JK,BNGA,PT Bank CIMB Niaga Tbk Class A,,Finance
2025-09-20,BNII.JK,BNII,PT Bank Maybank Indonesia Tbk Class A,,Finance
2025-09-20,BNLI.JK,BNLI,PT Bank Permata Tbk Class A,,Finance
2025-09-20,BOAT.JK,BOAT,PT Newport Marine Services Tbk,,Transportation
2025-09-20,BOBA.JK,BOBA,PT Formosa Ingredient Factory Tbk,,Consumer non-durables
